emoji,name,group,subgroup,literal,clarity,keep
🕤,nine-thirty,Travel & Places,time,nine-thirty,,
🕙,ten o’clock,Travel & Places,time,ten-o-clock,,
🕥,ten-thirty,Travel & Places,time,ten-thirty,,
🕚,eleven o’clock,Travel & Places,time,eleven-o-clock,,
🕦,eleven-thirty,Travel & Places,time,eleven-thirty,,
🌑,new moon,Travel & Places,sky & weather,new-moon,,
🌒,waxing crescent moon,Travel & Places,sky & weather,waxing-crescent-moon,,
🌓,first quarter moon,Travel & Places,sky & weather,first-quarter-moon,,
🌔,waxing gibbous moon,Travel & Places,sky & weather,waxing-gibbous-moon,,
🌕,full moon,Travel & Places,sky & weather,full-moon,,
🌖,waning gibbous moon,Travel & Places,sky & weather,waning-gibbous-moon,,
🌗,last quarter moon,Travel & Places,sky & weather,last-quarter-moon,,
🌘,waning crescent moon,Travel & Places,sky & weather,waning-crescent-moon,,
🌙,crescent moon,Travel & Places,sky & weather,crescent-moon,,
🌚,new moon face,Travel & Places,sky & weather,new-moon-face,,
🌛,first quarter moon face,Travel & Places,sky & weather,first-quarter-moon-face,,
🌜,last quarter moon face,Travel & Places,sky & weather,last-quarter-moon-face,,
🌡️,thermometer,Travel & Places,sky & weather,thermometer,,
☀️,sun,Travel & Places,sky & weather,sun,,
🌝,full moon face,Travel & Places,sky & weather,full-moon-face,,
🌞,sun with face,Travel & Places,sky & weather,sun-face,,
🪐,ringed planet,Travel & Places,sky & weather,saturn,,
⭐,star,Travel & Places,sky & weather,star,,
🌟,glowing star,Travel & Places,sky & weather,glowing-star,,
🌠,shooting star,Travel & Places,sky & weather,shooting-star,,
🌌,milky way,Travel & Places,sky & weather,milky-way,,
☁️,cloud,Travel & Places,sky & weather,cloud,,
⛅,sun behind cloud,Travel & Places,sky & weather,partly-cloudy,,
⛈️,cloud with lightning and rain,Travel & Places,sky & weather,thunderstorm,,
🌤️,sun behind small cloud,Travel & Places,sky & weather,mostly-sunny,,
🌥️,sun behind large cloud,Travel & Places,sky & weather,cloudy,,
🌦️,sun behind rain cloud,Travel & Places,sky & weather,sun-rain,,
🌧️,cloud with rain,Travel & Places,sky & weather,rain,,
🌨️,cloud with snow,Travel & Places,sky & weather,snow,,
🌩️,cloud with lightning,Travel & Places,sky & weather,lightning,,
🌪️,tornado,Travel & Places,sky & weather,tornado,,
🌫️,fog,Travel & Places,sky & weather,fog,,
🌬️,wind face,Travel & Places,sky & weather,wind,,
🌀,cyclone,Travel & Places,sky & weather,cyclone,,
🌈,rainbow,Travel & Places,sky & weather,rainbow,,
🌂,closed umbrella,Travel & Places,sky & weather,closed-umbrella,,
☂️,umbrella,Travel & Places,sky & weather,umbrella,,
☔,umbrella with rain drops,Travel & Places,sky & weather,rain-umbrella,,
⛱️,umbrella on ground,Travel & Places,sky & weather,beach-umbrella,,
⚡,high voltage,Travel & Places,sky & weather,lightning,,
❄️,snowflake,Travel & Places,sky & weather,snowflake,,
☃️,snowman,Travel & Places,sky & weather,snowman,,
⛄,snowman without snow,Travel & Places,sky & weather,snowman,,
☄️,comet,Travel & Places,sky & weather,comet,,
🔥,fire,Travel & Places,sky & weather,fire,,
💧,droplet,Travel & Places,sky & weather,droplet,,
🌊,water wave,Travel & Places,sky & weather,wave,,
🎃,jack-o-lantern,Activities,event,jack-o-lantern,,
🎄,Christmas tree,Activities,event,christmas-tree,,
🎆,fireworks,Activities,event,fireworks,,
🎇,sparkler,Activities,event,sparkler,,
🧨,firecracker,Activities,event,firecracker,,
✨,sparkles,Activities,event,sparkles,,
🎈,balloon,Activities,event,balloon,,
🎉,party popper,Activities,event,party-popper,,
🎊,confetti ball,Activities,event,confetti-ball,,
🎋,tanabata tree,Activities,event,tanabata,,
🎍,pine decoration,Activities,event,new-year-decoration,,
🎎,Japanese dolls,Activities,event,dolls,,
🎏,carp streamer,Activities,event,carp-streamer,,
🎐,wind chime,Activities,event,wind-chime,,
🎑,moon viewing ceremony,Activities,event,moon-viewing,,
🧧,red envelope,Activities,event,red-envelope,,
🎀,ribbon,Activities,event,ribbon,,
🎁,wrapped gift,Activities,event,wrapped-gift,,
🎗️,reminder ribbon,Activities,event,reminder-ribbon,,
🎟️,admission tickets,Activities,event,admission-tickets,,
🎫,ticket,Activities,event,ticket,,
🎖️,military medal,Activities,award-medal,military-medal,,
🏆,trophy,Activities,award-medal,trophy,,
🏅,sports medal,Activities,award-medal,sports-medal,,
🥇,1st place medal,Activities,award-medal,1st-place-medal,,
🥈,2nd place medal,Activities,award-medal,2nd-place-medal,,
🥉,3rd place medal,Activities,award-medal,3rd-place-medal,,
⚽,soccer ball,Activities,sport,soccer,,
⚾,baseball,Activities,sport,baseball,,
🥎,softball,Activities,sport,softball,,
🏀,basketball,Activities,sport,basketball,,
🏐,volleyball,Activities,sport,volleyball,,
🏈,american football,Activities,sport,football,,
🏉,rugby football,Activities,sport,rugby,,
🎾,tennis,Activities,sport,tennis,,
🥏,flying disc,Activities,sport,frisbee,,
🎳,bowling,Activities,sport,bowling,,
🏏,cricket game,Activities,sport,cricket,,
🏑,field hockey,Activities,sport,field-hockey,,
🏒,ice hockey,Activities,sport,hockey,,
🥍,lacrosse,Activities,sport,lacrosse,,
🏓,ping pong,Activities,sport,ping-pong,,
🏸,badminton,Activities,sport,badminton,,
🥊,boxing glove,Activities,sport,boxing,,
🥋,martial arts uniform,Activities,sport,martial-arts,,
🥅,goal net,Activities,sport,goal,,
⛳,flag in hole,Activities,sport,golf,,
⛸️,ice skate,Activities,sport,skating,,
🎣,fishing pole,Activities,sport,fishing,,
🤿,diving mask,Activities,sport,diving-mask,,
🎽,running shirt,Activities,sport,running,,
🎿,skis,Activities,sport,skis,,
🛷,sled,Activities,sport,sled,,
🥌,curling stone,Activities,sport,curling,,
🎯,bullseye,Activities,game,bullseye,,
🪀,yo-yo,Activities,game,yo-yo,,
🪁,kite,Activities,game,kite,,
🔫,water pistol,Activities,game,water-pistol,,
🎱,pool 8 ball,Activities,game,pool,,
🔮,crystal ball,Activities,game,crystal-ball,,
🪄,magic wand,Activities,game,magic-wand,,
🎮,video game,Activities,game,video-game,,
🕹️,joystick,Activities,game,joystick,,
🎰,slot machine,Activities,game,slot-machine,,
🎲,game die,Activities,game,game-die,,
🧩,puzzle piece,Activities,game,puzzle-piece,,
🧸,teddy bear,Activities,game,teddy-bear,,
🪅,piñata,Activities,game,pinata,,
🪩,mirror ball,Activities,game,mirror-ball,,
🪆,nesting dolls,Activities,game,nesting-dolls,,
♠️,spade suit,Activities,game,spade-suit,,
♥️,heart suit,Activities,game,heart-suit,,
♦️,diamond suit,Activities,game,diamond-suit,,
♣️,club suit,Activities,game,club-suit,,
♟️,chess pawn,Activities,game,chess-pawn,,
🃏,joker,Activities,game,joker,,
🀄,mahjong red dragon,Activities,game,mahjong,,
🎴,flower playing cards,Activities,game,hanafuda,,
🎭,performing arts,Activities,arts & crafts,theater,,
🖼️,framed picture,Activities,arts & crafts,framed-picture,,
🎨,artist palette,Activities,arts & crafts,palette,,
🧵,thread,Activities,arts & crafts,thread,,
🪡,sewing needle,Activities,arts & crafts,sewing-needle,,
🧶,yarn,Activities,arts & crafts,yarn,,
🪢,knot,Activities,arts & crafts,knot,,
👓,glasses,Objects,clothing,glasses,,
🕶️,sunglasses,Objects,clothing,sunglasses,,
🥽,goggles,Objects,clothing,goggles,,
🥼,lab coat,Objects,clothing,lab-coat,,
🦺,safety vest,Objects,clothing,safety-vest,,
👔,necktie,Objects,clothing,necktie,,
👕,t-shirt,Objects,clothing,t-shirt,,
👖,jeans,Objects,clothing,jeans,,
🧣,scarf,Objects,clothing,scarf,,
🧤,gloves,Objects,clothing,gloves,,
🧥,coat,Objects,clothing,coat,,
🧦,socks,Objects,clothing,socks,,
👗,dress,Objects,clothing,dress,,
👘,kimono,Objects,clothing,kimono,,
🥻,sari,Objects,clothing,sari,,
🩱,one-piece swimsuit,Objects,clothing,one-piece-swimsuit,,
🩲,briefs,Objects,clothing,briefs,,
🩳,shorts,Objects,clothing,shorts,,
👙,bikini,Objects,clothing,bikini,,
👚,woman’s clothes,Objects,clothing,womans-clothes,,
🪭,folding hand fan,Objects,clothing,hand-fan,,
👛,purse,Objects,clothing,purse,,
👜,handbag,Objects,clothing,handbag,,
👝,clutch bag,Objects,clothing,clutch-bag,,
🛍️,shopping bags,Objects,clothing,shopping-bag,,
🎒,backpack,Objects,clothing,backpack,,
🩴,thong sandal,Objects,clothing,sandal,,
👞,man’s shoe,Objects,clothing,mans-shoe,,
👟,running shoe,Objects,clothing,sneaker,,
🥾,hiking boot,Objects,clothing,boot,,
🥿,flat shoe,Objects,clothing,flat-shoe,,
👠,high-heeled shoe,Objects,clothing,high-heel,,
👡,woman’s sandal,Objects,clothing,womans-sandal,,
🩰,ballet shoes,Objects,clothing,ballet-shoe,,
👢,woman’s boot,Objects,clothing,womans-boot,,
🪮,hair pick,Objects,clothing,hair-pick,,
👑,crown,Objects,clothing,crown,,
👒,woman’s hat,Objects,clothing,womans-hat,,
🎩,top hat,Objects,clothing,top-hat,,
🎓,graduation cap,Objects,clothing,graduation-cap,,
🧢,billed cap,Objects,clothing,billed-cap,,
🪖,military helmet,Objects,clothing,helmet,,
⛑️,rescue worker’s helmet,Objects,clothing,rescue-helmet,,
📿,prayer beads,Objects,clothing,prayer-bead,,
💄,lipstick,Objects,clothing,lipstick,,
💍,ring,Objects,clothing,ring,,
💎,gem stone,Objects,clothing,gemstone,,
🔇,muted speaker,Objects,sound,mute,,
🔈,speaker low volume,Objects,sound,speaker-low,,
🔉,speaker medium volume,Objects,sound,speaker-medium,,
🔊,speaker high volume,Objects,sound,speaker-high,,
📢,loudspeaker,Objects,sound,loudspeaker,,
📣,megaphone,Objects,sound,megaphone,,
📯,postal horn,Objects,sound,postal-horn,,
🔔,bell,Objects,sound,bell,,
🔕,bell with slash,Objects,sound,bell-off,,
🎼,musical score,Objects,music,sheet-music,,
🎵,musical note,Objects,music,music-note,,
🎶,musical notes,Objects,music,music-notes,,
🎙️,studio microphone,Objects,music,studio-mic,,
🎚️,level slider,Objects,music,slider,,
🎛️,control knobs,Objects,music,knobs,,
🎤,microphone,Objects,music,microphone,,
🎧,headphone,Objects,music,headphones,,
📻,radio,Objects,music,radio,,
🎷,saxophone,Objects,musical-instrument,saxophone,,
🎺,trumpet,Objects,musical-instrument,trumpet,,
🪊,trombone,Objects,musical-instrument,trombone,,
🪗,accordion,Objects,musical-instrument,accordion,,
🎸,guitar,Objects,musical-instrument,guitar,,
🎹,musical keyboard,Objects,musical-instrument,musical-keyboard,,
🎻,violin,Objects,musical-instrument,violin,,
🪕,banjo,Objects,musical-instrument,banjo,,
🥁,drum,Objects,musical-instrument,drum,,
🪘,long drum,Objects,musical-instrument,long-drum,,
🪇,maracas,Objects,musical-instrument,maracas,,
🪈,flute,Objects,musical-instrument,flute,,
🪉,harp,Objects,musical-instrument,harp,,
📱,mobile phone,Objects,phone,phone,,
📲,mobile phone with arrow,Objects,phone,phone-outgoing,,
☎️,telephone,Objects,phone,telephone,,
📞,telephone receiver,Objects,phone,phone-receiver,,
📟,pager,Objects,phone,pager,,
📠,fax machine,Objects,phone,fax,,
🔋,battery,Objects,computer,battery,,
🪫,low battery,Objects,computer,low-battery,,
🔌,electric plug,Objects,computer,plug,,
💻,laptop,Objects,computer,laptop,,
🖥️,desktop computer,Objects,computer,desktop,,
🖨️,printer,Objects,computer,printer,,
⌨️,keyboard,Objects,computer,keyboard,,
🖱️,computer mouse,Objects,computer,mouse,,
🖲️,trackball,Objects,computer,trackball,,
💽,computer disk,Objects,computer,disk,,
💾,floppy disk,Objects,computer,floppy-disk,,
💿,optical disk,Objects,computer,cd,,
📀,dvd,Objects,computer,dvd,,
🧮,abacus,Objects,computer,abacus,,
🎥,movie camera,Objects,light & video,movie-camera,,
🎞️,film frames,Objects,light & video,film,,
📽️,film projector,Objects,light & video,projector,,
🎬,clapper board,Objects,light & video,clapperboard,,
📺,television,Objects,light & video,television,,
📷,camera,Objects,light & video,camera,,
📸,camera with flash,Objects,light & video,camera-flash,,
📹,video camera,Objects,light & video,video-camera,,
📼,videocassette,Objects,light & video,videocassette,,
🔍,magnifying glass tilted left,Objects,light & video,magnify-left,,
🔎,magnifying glass tilted right,Objects,light & video,magnify-right,,
🕯️,candle,Objects,light & video,candle,,
💡,light bulb,Objects,light & video,lightbulb,,
🔦,flashlight,Objects,light & video,flashlight,,
🏮,red paper lantern,Objects,light & video,lantern,,
🪔,diya lamp,Objects,light & video,oil-lamp,,
📔,notebook with decorative cover,Objects,book-paper,notebook,,
📕,closed book,Objects,book-paper,closed-book,,
📖,open book,Objects,book-paper,open-book,,
📗,green book,Objects,book-paper,green-book,,
📘,blue book,Objects,book-paper,blue-book,,
📙,orange book,Objects,book-paper,orange-book,,
📚,books,Objects,book-paper,book-stack,,
📓,notebook,Objects,book-paper,notebook,,
📒,ledger,Objects,book-paper,ledger,,
📃,page with curl,Objects,book-paper,page-curl,,
📜,scroll,Objects,book-paper,scroll,,
📄,page facing up,Objects,book-paper,page,,
📰,newspaper,Objects,book-paper,newspaper,,
🗞️,rolled-up newspaper,Objects,book-paper,newspaper-roll,,
📑,bookmark tabs,Objects,book-paper,bookmark-tab,,
🔖,bookmark,Objects,book-paper,bookmark,,
🏷️,label,Objects,book-paper,label,,
🪙,coin,Objects,money,coin,,
💰,money bag,Objects,money,money-bag,,
🪎,treasure chest,Objects,money,treasure-chest,,
💴,yen banknote,Objects,money,yen,,
💵,dollar banknote,Objects,money,dollar,,
💶,euro banknote,Objects,money,euro,,
💷,pound banknote,Objects,money,pound,,
💸,money with wings,Objects,money,flying-money,,
💳,credit card,Objects,money,credit-card,,
🧾,receipt,Objects,money,receipt,,
💹,chart increasing with yen,Objects,money,yen-chart-up,,
✉️,envelope,Objects,mail,envelope,,
📧,e-mail,Objects,mail,email,,
📨,incoming envelope,Objects,mail,envelope-incoming,,
📩,envelope with arrow,Objects,mail,envelope-outgoing,,
📤,outbox tray,Objects,mail,outbox,,
📥,inbox tray,Objects,mail,inbox,,
📦,package,Objects,mail,package,,
📫,closed mailbox with raised flag,Objects,mail,mailbox-closed-up,,
📪,closed mailbox with lowered flag,Objects,mail,mailbox-closed-down,,
📬,open mailbox with raised flag,Objects,mail,mailbox-open-up,,
📭,open mailbox with lowered flag,Objects,mail,mailbox-open-down,,
📮,postbox,Objects,mail,postbox,,
🗳️,ballot box with ballot,Objects,mail,ballot-box,,
✏️,pencil,Objects,writing,pencil,,
✒️,black nib,Objects,writing,nib,,
🖋️,fountain pen,Objects,writing,fountain-pen,,
🖊️,pen,Objects,writing,pen,,
🖌️,paintbrush,Objects,writing,paintbrush,,
🖍️,crayon,Objects,writing,crayon,,
📝,memo,Objects,writing,memo,,
💼,briefcase,Objects,office,briefcase,,
📁,file folder,Objects,office,file-folder,,
📂,open file folder,Objects,office,open-file-folder,,
🗂️,card index dividers,Objects,office,index-divider,,
📅,calendar,Objects,office,calendar,,
📆,tear-off calendar,Objects,office,calendar-tear-off,,
🗒️,spiral notepad,Objects,office,notepad,,
🗓️,spiral calendar,Objects,office,calendar-spiral,,
📇,card index,Objects,office,index-card,,
📈,chart increasing,Objects,office,chart-up,,
📉,chart decreasing,Objects,office,chart-down,,
📊,bar chart,Objects,office,bar-chart,,
📋,clipboard,Objects,office,clipboard,,
📌,pushpin,Objects,office,pushpin,,
📍,round pushpin,Objects,office,pushpin-round,,
📎,paperclip,Objects,office,paperclip,,
🖇️,linked paperclips,Objects,office,paperclip-chain,,
📏,straight ruler,Objects,office,ruler,,
📐,triangular ruler,Objects,office,set-square,,
✂️,scissors,Objects,office,scissors,,
🗃️,card file box,Objects,office,file-box,,
🗄️,file cabinet,Objects,office,filing-cabinet,,
🗑️,wastebasket,Objects,office,wastebasket,,
🔒,locked,Objects,lock,locked,,
🔓,unlocked,Objects,lock,unlocked,,
🔏,locked with pen,Objects,lock,lock-pen,,
🔐,locked with key,Objects,lock,lock-key,,
🔑,key,Objects,lock,key,,
🗝️,old key,Objects,lock,key-old,,
🔨,hammer,Objects,tool,hammer,,
🪓,axe,Objects,tool,axe,,
⛏️,pick,Objects,tool,pick,,
⚒️,hammer and pick,Objects,tool,hammer-pick,,
🛠️,hammer and wrench,Objects,tool,hammer-wrench,,
🗡️,dagger,Objects,tool,dagger,,
⚔️,crossed swords,Objects,tool,sword-crossed,,
💣,bomb,Objects,tool,bomb,,
🪃,boomerang,Objects,tool,boomerang,,
🏹,bow and arrow,Objects,tool,bow-arrow,,
🛡️,shield,Objects,tool,shield,,
🪚,carpentry saw,Objects,tool,saw,,
🔧,wrench,Objects,tool,wrench,,
🪛,screwdriver,Objects,tool,screwdriver,,
🔩,nut and bolt,Objects,tool,nut-bolt,,
⚙️,gear,Objects,tool,gear,,
🗜️,clamp,Objects,tool,clamp,,
⚖️,balance scale,Objects,tool,scale,,
🦯,white cane,Objects,tool,cane,,
🔗,link,Objects,tool,link,,
⛓️‍💥,broken chain,Objects,tool,chain-broken,,
⛓️,chains,Objects,tool,chains,,
🪝,hook,Objects,tool,hook,,
🧰,toolbox,Objects,tool,toolbox,,
🧲,magnet,Objects,tool,magnet,,
🪜,ladder,Objects,tool,ladder,,
🪏,shovel,Objects,tool,shovel,,
⚗️,alembic,Objects,science,alembic,,
🧪,test tube,Objects,science,test-tube,,
🧫,petri dish,Objects,science,petri-dish,,
🧬,dna,Objects,science,dna,,
🔬,microscope,Objects,science,microscope,,
🔭,telescope,Objects,science,telescope,,
📡,satellite antenna,Objects,science,satellite-antenna,,
💉,syringe,Objects,medical,syringe,,
🩸,drop of blood,Objects,medical,blood-drop,,
💊,pill,Objects,medical,pill,,
🩹,adhesive bandage,Objects,medical,bandage,,
🩼,crutch,Objects,medical,crutch,,
🩺,stethoscope,Objects,medical,stethoscope,,
🩻,x-ray,Objects,medical,x-ray,,
🚪,door,Objects,household,door,,
🛗,elevator,Objects,household,elevator,,
🪞,mirror,Objects,household,mirror,,
🪟,window,Objects,household,window,,
🛏️,bed,Objects,household,bed,,
🛋️,couch and lamp,Objects,household,couch-lamp,,
🪑,chair,Objects,household,chair,,
🚽,toilet,Objects,household,toilet,,
🪠,plunger,Objects,household,plunger,,
🚿,shower,Objects,household,shower,,
🛁,bathtub,Objects,household,bathtub,,
🪤,mouse trap,Objects,household,mousetrap,,
🪒,razor,Objects,household,razor,,
🧴,lotion bottle,Objects,household,lotion,,
🧷,safety pin,Objects,household,safety-pin,,
🧹,broom,Objects,household,broom,,
🧺,basket,Objects,household,basket,,
🧻,roll of paper,Objects,household,paper-roll,,
🪣,bucket,Objects,household,bucket,,
🧼,soap,Objects,household,soap,,
🫧,bubbles,Objects,household,bubbles,,
🪥,toothbrush,Objects,household,toothbrush,,
🧽,sponge,Objects,household,sponge,,
🧯,fire extinguisher,Objects,household,extinguisher,,
🛒,shopping cart,Objects,household,cart,,
🚬,cigarette,Objects,other-object,cigarette,,
⚰️,coffin,Objects,other-object,coffin,,
🪦,headstone,Objects,other-object,headstone,,
⚱️,funeral urn,Objects,other-object,urn,,
🧿,nazar amulet,Objects,other-object,nazar,,
🪬,hamsa,Objects,other-object,hamsa,,
🗿,moai,Objects,other-object,moai,,
🪧,placard,Objects,other-object,placard,,
🪪,identification card,Objects,other-object,id-card,,
🏧,ATM sign,Symbols,transport-sign,atm,,
🚮,litter in bin sign,Symbols,transport-sign,litter,,
🚰,potable water,Symbols,transport-sign,drinking-water,,
♿,wheelchair symbol,Symbols,transport-sign,wheelchair,,
🚹,men’s room,Symbols,transport-sign,mens-room,,
🚺,women’s room,Symbols,transport-sign,womens-room,,
🚻,restroom,Symbols,transport-sign,restroom,,
🚼,baby symbol,Symbols,transport-sign,baby-changing,,
🚾,water closet,Symbols,transport-sign,wc,,
🛂,passport control,Symbols,transport-sign,passport-control,,
🛃,customs,Symbols,transport-sign,customs,,
🛄,baggage claim,Symbols,transport-sign,baggage-claim,,
🛅,left luggage,Symbols,transport-sign,left-luggage,,
⚠️,warning,Symbols,warning,warning,,
🚸,children crossing,Symbols,warning,children-crossing,,
⛔,no entry,Symbols,warning,no-entry,,
🚫,prohibited,Symbols,warning,prohibited,,
🚳,no bicycles,Symbols,warning,no-bicycles,,
🚭,no smoking,Symbols,warning,no-smoking,,
🚯,no littering,Symbols,warning,no-littering,,
🚱,non-potable water,Symbols,warning,non-drinking-water,,
🚷,no pedestrians,Symbols,warning,no-pedestrian,,
📵,no mobile phones,Symbols,warning,no-phone,,
🔞,no one under eighteen,Symbols,warning,no-minors,,
☢️,radioactive,Symbols,warning,radioactive,,
☣️,biohazard,Symbols,warning,biohazard,,
⬆️,up arrow,Symbols,arrow,up,,
↗️,up-right arrow,Symbols,arrow,up-right,,
➡️,right arrow,Symbols,arrow,right,,
↘️,down-right arrow,Symbols,arrow,down-right,,
⬇️,down arrow,Symbols,arrow,down,,
↙️,down-left arrow,Symbols,arrow,down-left,,
⬅️,left arrow,Symbols,arrow,left,,
↖️,up-left arrow,Symbols,arrow,up-left,,
↕️,up-down arrow,Symbols,arrow,up-down,,
↔️,left-right arrow,Symbols,arrow,left-right,,
↩️,right arrow curving left,Symbols,arrow,back,,
↪️,left arrow curving right,Symbols,arrow,forward,,
⤴️,right arrow curving up,Symbols,arrow,curve-up,,
⤵️,right arrow curving down,Symbols,arrow,curve-down,,
🔃,clockwise vertical arrows,Symbols,arrow,reload,,
🔄,counterclockwise arrows button,Symbols,arrow,refresh,,
🔙,BACK arrow,Symbols,arrow,back,,
🔚,END arrow,Symbols,arrow,end,,
🔛,ON! arrow,Symbols,arrow,on,,
🔜,SOON arrow,Symbols,arrow,soon,,
🔝,TOP arrow,Symbols,arrow,top,,
🛐,place of worship,Symbols,religion,worship,,
⚛️,atom symbol,Symbols,religion,atom,,
🕉️,om,Symbols,religion,om,,
✡️,star of David,Symbols,religion,star-of-david,,
☸️,wheel of dharma,Symbols,religion,dharma-wheel,,
☯️,yin yang,Symbols,religion,yin-yang,,
✝️,latin cross,Symbols,religion,cross,,
☦️,orthodox cross,Symbols,religion,orthodox-cross,,
☪️,star and crescent,Symbols,religion,star-crescent,,
☮️,peace symbol,Symbols,religion,peace,,
🕎,menorah,Symbols,religion,menorah,,
🔯,dotted six-pointed star,Symbols,religion,star-six-point,,
🪯,khanda,Symbols,religion,khanda,,
♈,Aries,Symbols,zodiac,aries,,
♉,Taurus,Symbols,zodiac,taurus,,
♊,Gemini,Symbols,zodiac,gemini,,
♋,Cancer,Symbols,zodiac,cancer,,
♌,Leo,Symbols,zodiac,leo,,
♍,Virgo,Symbols,zodiac,virgo,,
♎,Libra,Symbols,zodiac,libra,,
♏,Scorpio,Symbols,zodiac,scorpio,,
♐,Sagittarius,Symbols,zodiac,sagittarius,,
♑,Capricorn,Symbols,zodiac,capricorn,,
♒,Aquarius,Symbols,zodiac,aquarius,,
♓,Pisces,Symbols,zodiac,pisces,,
⛎,Ophiuchus,Symbols,zodiac,ophiuchus,,
🔀,shuffle tracks button,Symbols,av-symbol,shuffle,,
🔁,repeat button,Symbols,av-symbol,repeat,,
🔂,repeat single button,Symbols,av-symbol,repeat-one,,
▶️,play button,Symbols,av-symbol,play,,
⏩,fast-forward button,Symbols,av-symbol,fast-forward,,
⏭️,next track button,Symbols,av-symbol,next-track,,
⏯️,play or pause button,Symbols,av-symbol,play-pause,,
◀️,reverse button,Symbols,av-symbol,rewind,,
⏪,fast reverse button,Symbols,av-symbol,fast-rewind,,
⏮️,last track button,Symbols,av-symbol,prev-track,,
🔼,upwards button,Symbols,av-symbol,up,,
⏫,fast up button,Symbols,av-symbol,fast-up,,
🔽,downwards button,Symbols,av-symbol,down,,
⏬,fast down button,Symbols,av-symbol,fast-down,,
⏸️,pause button,Symbols,av-symbol,pause,,
⏹️,stop button,Symbols,av-symbol,stop,,
⏺️,record button,Symbols,av-symbol,record,,
⏏️,eject button,Symbols,av-symbol,eject,,
🎦,cinema,Symbols,av-symbol,cinema,,
🔅,dim button,Symbols,av-symbol,dim,,
🔆,bright button,Symbols,av-symbol,bright,,
📶,antenna bars,Symbols,av-symbol,signal,,
🛜,wireless,Symbols,av-symbol,wireless,,
📳,vibration mode,Symbols,av-symbol,vibrate,,
📴,mobile phone off,Symbols,av-symbol,phone-off,,
♀️,female sign,Symbols,gender,female,,
♂️,male sign,Symbols,gender,male,,
⚧️,transgender symbol,Symbols,gender,transgender,,
✖️,multiply,Symbols,math,multiply,,
➕,plus,Symbols,math,plus,,
➖,minus,Symbols,math,minus,,
➗,divide,Symbols,math,divide,,
🟰,heavy equals sign,Symbols,math,equals,,
♾️,infinity,Symbols,math,infinity,,
‼️,double exclamation mark,Symbols,punctuation,exclamation-double,,
⁉️,exclamation question mark,Symbols,punctuation,interrobang,,
❓,red question mark,Symbols,punctuation,question-red,,
❔,white question mark,Symbols,punctuation,question-white,,
❕,white exclamation mark,Symbols,punctuation,exclamation-white,,
❗,red exclamation mark,Symbols,punctuation,exclamation-red,,
〰️,wavy dash,Symbols,punctuation,dash-wavy,,
💱,currency exchange,Symbols,currency,currency-exchange,,
💲,heavy dollar sign,Symbols,currency,dollar-sign,,
⚕️,medical symbol,Symbols,other-symbol,medical,,
♻️,recycling symbol,Symbols,other-symbol,recycling,,
⚜️,fleur-de-lis,Symbols,other-symbol,fleur-de-lis,,
🔱,trident emblem,Symbols,other-symbol,trident,,
📛,name badge,Symbols,other-symbol,name-tag,,
🔰,Japanese symbol for beginner,Symbols,other-symbol,beginner,,
⭕,hollow red circle,Symbols,other-symbol,hollow-red-circle,,
✅,check mark button,Symbols,other-symbol,check,,
☑️,check box with check,Symbols,other-symbol,checkbox-checked,,
✔️,check mark,Symbols,other-symbol,check,,
❌,cross mark,Symbols,other-symbol,cross,,
❎,cross mark button,Symbols,other-symbol,cross-mark,,
➰,curly loop,Symbols,other-symbol,loop,,
➿,double curly loop,Symbols,other-symbol,loop-double,,
〽️,part alternation mark,Symbols,other-symbol,,,n
✳️,eight-spoked asterisk,Symbols,other-symbol,asterisk-eight,,
✴️,eight-pointed star,Symbols,other-symbol,star-eight,,
❇️,sparkle,Symbols,other-symbol,sparkle,,
©️,copyright,Symbols,other-symbol,copyright,,
®️,registered,Symbols,other-symbol,registered,,
™️,trade mark,Symbols,other-symbol,trademark,,
🫟,splatter,Symbols,other-symbol,splatter,,
#️⃣,keycap: #,Symbols,keycap,keycap-hash,,
*️⃣,keycap: *,Symbols,keycap,keycap-asterisk,,
0️⃣,keycap: 0,Symbols,keycap,keycap-0,,
1️⃣,keycap: 1,Symbols,keycap,keycap-1,,
2️⃣,keycap: 2,Symbols,keycap,keycap-2,,
3️⃣,keycap: 3,Symbols,keycap,keycap-3,,
4️⃣,keycap: 4,Symbols,keycap,keycap-4,,
5️⃣,keycap: 5,Symbols,keycap,keycap-5,,
6️⃣,keycap: 6,Symbols,keycap,keycap-6,,
7️⃣,keycap: 7,Symbols,keycap,keycap-7,,
8️⃣,keycap: 8,Symbols,keycap,keycap-8,,
9️⃣,keycap: 9,Symbols,keycap,keycap-9,,
🔟,keycap: 10,Symbols,keycap,keycap-10,,
🔠,input latin uppercase,Symbols,alphanum,uppercase,,
🔡,input latin lowercase,Symbols,alphanum,lowercase,,
🔢,input numbers,Symbols,alphanum,numbers,,
🔣,input symbols,Symbols,alphanum,symbols,,
🔤,input latin letters,Symbols,alphanum,letters,,
🅰️,A button (blood type),Symbols,alphanum,blood-type-a,,
🆎,AB button (blood type),Symbols,alphanum,blood-type-ab,,
🅱️,B button (blood type),Symbols,alphanum,blood-type-b,,
🆑,CL button,Symbols,alphanum,clear,,
🆒,COOL button,Symbols,alphanum,cool,,
🆓,FREE button,Symbols,alphanum,free,,
ℹ️,information,Symbols,alphanum,information,,
